hostname,os,scope,type,ip,nat,datastore
PROSNA,Red Hat Enterprise 6.8,UO,P,10.0.32.44 / 10.0.32.145 / 10.0.32.146 / 10.0.32.143 / 10.0.32.144,,B49A08D04U20
PRUNELLI,Red Hat Enterprise 5.11,HUO,V,10.2.32.120,,MOP B4
PR-VMWAREESX-12,ESXi 6.5,UO,P,10.0.32.36,,G11A11D09U08
PR-VMWAREESX-13,ESXi 6.5,UO,P,10.0.32.58,15.1.53.206,B49A08D05U08
PR-VMWAREESX-14,ESXi 6.5,UO,P,10.0.32.104,15.1.53.208,G11A11D09U10
PR-VMWAREESX-15,ESXi 6.5,UO,P,10.0.32.106,15.1.53.210,B49A08D05U06
PR-VMWAREESX-16,ESXi 6.5,UO,P,10.0.32.115,15.1.70.33,G11A11D09U03
PR-VMWAREESX-17,ESXi 6.5,UO,P,10.0.32.117,15.1.70.37,B49A08D09U05
PR-VMWAREESX-18,ESXi 6.5,UO,P,10.0.32.163,15.1.70.27,G11A11D09U05
PR-VMWAREESX-19,ESXi 6.5,UO,P,10.0.32.165,15.1.70.29,B49A08D09U07
PR-VMWAREESX-20,ESXi 6.5,UO,P,10.0.32.166,15.1.53.187,G11A11D09U29
PR-VMWAREESX-21,ESXi 6.5,UO,P,10.0.32.168,15.1.53.188,B49A08D03u12
RAMGANGA,Red Hat Enterprise 7.3,HUO,V,10.2.32.62,15.1.70.196,GRABELS G2
RAWKA,Red Hat Enterprise 7,HUO,V,10.2.32.22,,GRABELS G2
RECHE,Windows 2008 R2 x64 STD,HUO,V,10.2.32.65,,MOP B4
REUSS,Red Hat Enterprise 6.8,HUO,V,10.2.32.101,,MOP B4
RIENZA,Windows 2008 R2 x64 STD,UO,V,10.1.32.129,15.1.53.214,GRABELS G2
RIHAND,Red Hat Enterprise 7.2,HUO,V,10.2.32.99,,MOP B4
RIZZANESE,Red Hat Enterprise 5.11,HUO,V,10.2.32.121,,GRABELS G2
RUVUMA,Red Hat Enterprise 5.11,UO,V,10.0.32.52,15.1.70.82,GRABELS G2
SABARI,Red Hat Enterprise 7.3,UO,V,10.1.32.127 ,,GRABELS G2
SAIRE,Red Hat Enterprise 5.11,UO,P,10.0.32.86,15.1.53.237,B49A08D07U12
SAKARYA,CentOS 7,infra IBM,V,10.0.32.250,15.1.53.180,
SALANFE,Red Hat Enterprise 7,UO,V,10.0.32.92,15.1.70.110,GRABELS G2
SALAT,Red Hat Enterprise 7.3,UO,V,10.1.32.128,15.1.53.13,GRABELS G2
SALINAS,Red Hat Enterprise 7.4,HUO,V,10.1.32.58,15.1.53.71,GRABELS G2
SALINDRENQUE,Red Hat Enterprise 7,HUO,V,10.2.32.126,15.1.53.251,MOP B4
SALLERON,Red Hat Enterprise 7,HUO,V,10.2.32.127,15.1.53.252,MOP B4
SALOUEN,Red Hat Enterprise 5.11,HUO,V,"10.2.32.76
127.0.0.1",,MOP B4
SALOUM,Red Hat Enterprise 5.11,UO,V,10.2.32.75,15.1.53.216,MOP B4
SALTINA,Red Hat Enterprise 7,UO,V,10.3.32.11,,MOP B4
SAMBRE,Red Hat Enterprise 6.8,HUO,V,10.1.32.40,15.1.53.80,MOP B4
SANAGA,Red Hat Enterprise 5.11,UO,V,10.2.32.77,15.1.53.217,GRABELS G2
SANKOSH,Red Hat Enterprise 7,UO,V,10.0.32.18,15.1.53.42,GRABELS G2
SANON,Red Hat Enterprise 7,UO,V,10.0.32.19,15.1.53.43,GRABELS G2
SANTOIRE,Red Hat Enterprise 7,HUO,V,10.2.32.52,15.1.53.125,GRABELS G2
SAONE,Red Hat Enterprise 7,HUO,V,10.2.32.53,15.1.53.126,GRABELS G2
SAONELLE,Red Hat Enterprise 7,HUO,V,10.2.32.54,15.1.53.127,GRABELS G2
SARRE,Windows 2012 R2 x64 STD,UO,V,10.1.32.139,15.1.70.241,GRABELS G2
SARTHE,Windows 2012 R2 x64 STD,HUO,V,10.0.32.207,15.1.53.182,MOP B4
SAULDRE,Windows 2012 R2 x64 STD,UO,V,10.1.32.209,15.1.53.185,MOP B4
SAULX,Red Hat Enterprise 7.2,UO,V,10.1.32.189,15.1.53.193,MOP B4
SAVANNAH,Red Hat Enterprise 5.11,UO,V,10.2.32.78,15.1.53.218,GRABELS G2
SAVIO,Red Hat Enterprise 7.4,UO,V,10.0.32.20,15.1.70.153,MOP B4
SAVITRI,Red Hat Enterprise 7,HUO,V,10.0.32.7,15.1.70.17,GRABELS G2
SCARDON,Red Hat Enterprise 7.4,HUO,V,10.2.32.117,15.1.53.15,GRABELS G2
